Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,680985.0,5.1,2100000.0,"Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,637959.0,11.0,1556000.0,"Seattle, Washington"
3,UnitedHealth Group,Healthcare,400278.0,7.7,400000.0,"Minnetonka, Minnesota"
4,Apple,Technology,391035.0,2.0,164000.0,"Cupertino, California"
5,CVS Health,Healthcare,372809.0,4.2,259500.0,"Woonsocket, Rhode Island"
6,Berkshire Hathaway,Conglomerate,371433.0,1.9,392400.0,"Omaha, Nebraska"
7,Alphabet,Technology and cloud computing,350018.0,13.9,183323.0,"Mountain View, California"
8,Exxon Mobil,Petroleum,349595.0,1.5,60900.0,"Spring, Texas"
9,McKesson Corporation,Healthcare,308951.0,11.7,48000.0,"Irving, Texas"
10,Cencora,Pharmacy wholesale,293959.0,12.1,44000.0,"Conshohocken, Pennsylvania"
11,JPMorgan Chase,Financials,278906.0,16.5,317233.0,"New York City, New York"
12,Costco Wholesale,Retail,254453.0,5.0,333000.0,"Issaquah, Washington"
13,Cigna,Health insurance,247121.0,26.6,72398.0,"Bloomfield, Connecticut"
14,Microsoft,Technology and cloud computing,245122.0,15.7,228000.0,"Redmond, Washington"
15,Cardinal Health,Healthcare,226827.0,10.6,48411.0,"Dublin, Ohio"
16,Chevron,Petroleum,202792.0,0.9,45298.0,"Houston, Texas"
17,Bank of America,Financials,192434.0,11.9,213193.0,"Charlotte, North Carolina"
18,General Motors,Automotive,187442.0,9.1,162000.0,"Detroit, Michigan"
19,Ford Motor,Automotive,184992.0,5.0,171000.0,"Dearborn, Michigan"
20,Elevance Health,Healthcare,177011.0,3.3,103679.0,"Indianapolis, Indiana"
21,Citigroup,Financials,170757.0,8.9,227855.0,"New York City, New York"
22,Meta Platforms,Technology,164501.0,21.9,74067.0,"Menlo Park, California"
23,Centene,Healthcare,163071.0,5.9,60500.0,"St. Louis, Missouri"
24,The Home Depot,Retail,159514.0,4.5,470100.0,"Atlanta, Georgia"
25,Fannie Mae,Financials,152670.0,8.1,8200.0,"Washington, D.C."
26,Walgreens Boots Alliance,Pharmaceutical,147658.0,6.2,252500.0,"Deerfield, Illinois"
27,Kroger,Retail,147123.0,-1.9,409000.0,"Cincinnati, Ohio"
28,Phillips 66,Petroleum,145496.0,-2.9,13200.0,"Houston, Texas"
29,Marathon Petroleum,Petroleum,140412.0,-6.6,18300.0,"Findlay, Ohio"
30,Verizon Communications,Telecommunications,134788.0,0.6,99600.0,"New York City, New York"
31,Nvidia,Technology,130497.0,114.2,36000.0,"Santa Clara, California"
32,Goldman Sachs Group,Financials,126853.0,17.0,46500.0,"New York City, New York"
33,Wells Fargo,Financials,125397.0,8.7,217502.0,"San Francisco, California"
34,Valero Energy,Petroleum,123974.0,-10.8,9910.0,"San Antonio, Texas"
35,Comcast,Telecommunications,123731.0,1.8,182000.0,"Philadelphia, Pennsylvania"
36,State Farm Insurance,Financials,122951.0,18.0,67381.0,"Bloomington, Illinois"
37,AT&T,Conglomerate and telecommunications,122336.0,-0.1,140990.0,"Dallas, Texas"
38,Freddie Mac,Financials,122052.0,13.0,8090.0,"McLean, Virginia"
39,Humana,Health insurance,117761.0,10.7,65680.0,"Louisville, Kentucky"
40,Morgan Stanley,Financials,107285.0,11.5,80478.0,"New York City, New York"
41,Target,Retail,106566.0,-0.8,440000.0,"Minneapolis, Minnesota"
42,StoneX Group,Financials,99888.0,64.1,4500.0,"New York City, New York"
43,Tesla,Automotive and energy,97690.0,0.9,125665.0,"Austin, Texas"
44,Dell Technologies,Technology,95567.0,8.1,108000.0,"Round Rock, Texas"
45,PepsiCo,Beverage,91854.0,0.4,319000.0,"Purchase, New York"
46,Walt Disney,Media,91361.0,2.8,205040.0,"Burbank, California"
47,United Parcel Service,Transportation,91070.0,0.1,372180.0,"Atlanta, Georgia"
48,Johnson & Johnson,Pharmaceutical,88821.0,-6.7,138100.0,"New Brunswick, New Jersey"
49,FedEx,Transportation,87693.0,-2.7,422100.0,"Memphis, Tennessee"
50,Archer Daniels Midland,Food industry,85530.0,-8.9,43213.0,"Chicago, Illinois"
51,Procter & Gamble,Consumer products manufacturing,84039.0,2.5,108000.0,"Cincinnati, Ohio"
52,Lowe's,Retail,83674.0,-3.1,215500.0,"Mooresville, North Carolina"
53,Energy Transfer Partners,Petroleum,82671.0,5.2,16248.0,"Dallas, Texas"
54,RTX,Aerospace and defense,80739.0,17.1,186000.0,"Arlington County, Virginia"
55,Albertsons,Retail,79238.0,2.0,196650.0,"Boise, Idaho"
56,Sysco,Food processing,78844.0,3.3,76000.0,"Houston, Texas"
57,Progressive,Insurance,75372.0,21.4,66308.0,"Mayfield Village, Ohio"
58,American Express,Financials,74201.0,10.1,75100.0,"New York City, New York"
59,Lockheed Martin,Aerospace and defense,71043.0,5.1,121000.0,"Bethesda, Maryland"
60,MetLife,Financials,70986.0,6.1,45000.0,"New York City, New York"
61,HCA Healthcare,Healthcare,70603.0,8.7,271000.0,"Nashville, Tennessee"
62,Prudential Financial,Financials,70405.0,30.4,37936.0,"Newark, New Jersey"
63,Boeing,Aerospace and defense,66517.0,-14.5,172000.0,"Arlington County, Virginia"
